,Country,City,Location
391,India,Chennai,"(13.0796914, 80.2829533)"
392,Japan,Tokyo,"(34.2255804, 139.294774527387)"
393,Ghana,Accra,"(5.5600141, -0.2057436)"
394,South Africa,Cape Town,"(-33.9289048, 18.4172485)"
395,Switzerland,Zurich,"(47.3685586, 8.5404434)"
396,Argentina,buenos Aires,
397,Ukraine,Kiev,"(50.4501071, 30.5240501)"
398,Bangladesh,dhaka,"(23.7593572, 90.3788136)"
399,Canada,Montreal,"(45.5087928, -73.5539819)"
400,Nepal,Biratnagar,"(26.4617104, 87.2808109)"
401,Argentina,buenos aires,
402,Ireland,Cork,"(51.8979282, -8.4705805)"
403,Trinidad and Tobago,Penal,"(10.1684634, -61.4526505)"
404,Nigeria,Abuja,"(9.0643305, 7.4892974)"
405,Italy,Modena,"(44.6458885, 10.9255707)"
406,Brazil,São Paulo,"(-23.5506506, -46.6333823)"
407,Switzerland,Zug,"(47.1715809, 8.5194365)"
408,Mexico,oaxaca,"(17.0, -96.4999999)"
409,Togo,Lomé,"(6.1258459, 1.2249327)"
410,Egypt,Cairo,"(30.0488185, 31.2436663)"
411,Nigeria,Abuja,"(9.0643305, 7.4892974)"
412,Peru,Lima,
413,Spain,,
414,Gambia,Banjul,
415,Philippines,"Bacoor, Cavite",
416,Argentina,SAN FERNANDO PROVINCIA DE BUENOS AIRES,
417,India,Serampore,
418,Kenya,Nairobi,
419,Trinidad and Tobago,,
420,Iran (Islamic Republic of),Tehran,
421,Nigeria,Abuja FCT,
422,Brazil,Brasilia,
423,India,"pune, maharashtra",
424,New Zealand,Blenheim,
425,United Kingdom of Great Britain and Northern Ireland,London,
426,Nigeria,Abuja,
427,Colombia,Bogota,
428,India,Chitrakoot,
429,Kenya,Nairobi,
430,Albania,Tirana,
431,Cameroon,Yaoundé,
432,United States of America,San Diego,
433,Morocco,Casablanca,
434,Netherlands,The Hague,
435,Nigeria,Abeokuta,
436,Japan,Osaka,
437,Brazil,Niteroi,
438,India,"Kalpetta, wayanad, Kerala",
439,Bahrain,East Riffa,
440,Ghana,Accra,
441,Spain,sevilla,
442,Mali,Bamako,
443,Brunei Darussalam,,
444,Colombia,Bogotá,
445,Uganda,Kampala,
446,India,Serampore,
447,Canada,Montreal,
448,Finland,Helsinki,
449,United Kingdom of Great Britain and Northern Ireland,London,
450,Brazil,Belo Horizonte,
451,United States of America,New york,
452,United States of America,Puerto Rico,
453,Argentina,Buenos Aires,
454,Finland,Helsinki,
455,United States of America,San Francisco,
456,Senegal,DAKAR,"(14.6934248, -17.4479376)"
457,Brazil,Camboriú/Santa Catarina,
458,Philippines,Digos City,
459,Spain,GETXO,
460,United Kingdom of Great Britain and Northern Ireland,STEYNING,
461,Saint Lucia,Castries,
462,United Kingdom of Great Britain and Northern Ireland,,
463,India,Noida,
464,United Kingdom of Great Britain and Northern Ireland,Glouceater,
465,India,Chitrakoor,
466,Nigeria,Lagos,
467,Serbia,Belgrade,
468,Germany,Berlin,
469,Morocco,Rabat,
470,Pakistan,Lahore,
471,Nigeria,Abuja,
472,Brazil,Porto Alegre/RS,
473,Canada,Toronto,
474,Barbados,Bridgtown,
475,Denmark,Liseleje,
476,Peru,Sullana - Piura,
477,Nigeria,Owerri,
478,Argentina,Santa Fe,
479,Sierra Leone,"Lower Allentown,Freetown",
480,India,Hyderabad,
481,Argentina,San Carlos Centro,
482,Lebanon,BEIRUT,
483,Brazil,Belo Horizonte,
484,United States of America,,
485,Philippines,Cebu City,
486,United Kingdom of Great Britain and Northern Ireland,newton abbot,
487,France,PARIS,
488,Ukraine,Kyiv,
489,Brazil,Belo Horizonte,
490,United Kingdom of Great Britain and Northern Ireland,"Salford, Manchester",
491,France,Bastia,
492,United Kingdom of Great Britain and Northern Ireland,London,
493,Nigeria,Benue/makurdi,
494,Indonesia,Surabaya,
495,Brazil,Recife/PE,
496,Albania,Tirana,
497,Guatemala,Guatemala,
498,Nigeria,Kaduna,
499,Colombia,Cali,
500,Zambia,,
501,Colombia,Medellín,
502,Zimbabwe,Harare,
503,Chile,Santiago,
504,United States of America,Hamden,
505,Brazil,São Paulo,
506,Honduras,Tegucigalpa,
507,Jordan,Amman,
508,United States of America,Tres Pinos. CA,
509,Nepal,Lalitpur,
510,Peru,"Lima, Lima",
511,Netherlands,,
512,Nigeria,Lagos,
513,Belarus,Minsk,
514,Brazil,Sao Paulo,
515,Iraq,Baghdad,
516,United Republic of Tanzania,Kilimanjaro,
517,Netherlands,"Fort Lee, USA",
518,Nigeria,Kaduna,
519,Germany,Frankfurt,
520,Brazil,Pedro Leopoldo - MG,
521,Indonesia,Purworejo,
522,Canada,Montreal,
523,Canada,Hamilton,
524,United States of America,"Washington, DC",
525,Brazil,Niterói,
526,Canada,Montreal,
527,Senegal,Dakar,
528,United States of America,melbourne,
529,Ghana,Accra,
530,Cote d'Ivoire,Abidjan,
531,Portugal,,
532,Spain,Madrid,
533,Australia,Perth,
534,Canada,,
535,El Salvador,Santa Tecla,
536,Canada,Stephenville,
537,Denmark,Copenhagen,
538,Canada,Vancouver,
539,Iran (Islamic Republic of),Tehran,
540,Niger,Niamey,
541,Philippines,,
542,United Kingdom of Great Britain and Northern Ireland,Glasgow,
543,United States of America,Denver,
544,United Kingdom of Great Britain and Northern Ireland,Kingston upon Hull,
545,Cameroon,Nantes en France,
546,Kenya,Nairobi,
547,Ecuador,Quito,
548,United Kingdom of Great Britain and Northern Ireland,london,
549,Republic of Moldova,Chisinau,
550,Honduras,TEGUCIGALPA,
551,United States of America,"New York, NY",
552,United Kingdom of Great Britain and Northern Ireland,London,
553,United States of America,"Washington, DC",
554,Ukraine,Kyiv,
555,Nepal,Chitwan,
556,Cuba,La Habana,
557,South Africa,Johannesburg,
558,Nigeria,Sango/Otta,
559,Paraguay,Asuncion,
560,Ghana,Accra,
561,Ecuador,Guayaquil,
562,Cameroon,Nantes en France,
563,Canada,,"(61.0666922, -107.991707)"
564,Colombia,Bogota,
565,Cote d'Ivoire,Abidjan,"(5.4091179, -4.0422098)"
566,Mexico,Mexico City,
567,Canada,Hamilton,"(43.254687, -79.8678196)"
568,United States of America,Austin,"(30.2711286, -97.7436994)"
569,Sweden,Lund,"(55.7029296, 13.1929449)"
570,Indonesia,Surabaya,"(-7.2459716, 112.7378266)"
571,Jordan,Amman,"(31.9515694, 35.9239625)"
572,Kenya,Nairobi,"(-1.2832532, 36.8172449)"
573,Spain,Barcelona,"(41.3825596, 2.1771353)"
574,Bolivia (Plurinational State of),La Paz,
575,Egypt,Assiut,"(27.1880128, 31.1700375728505)"
576,Peru,Lima,
577,Nepal,Kathmandu,"(27.7087963, 85.3202438)"
578,Nigeria,Lagos,"(6.4550575, 3.3941795)"
579,Sweden,Lund,"(55.7029296, 13.1929449)"
580,Austria,Wien,"(48.2083537, 16.3725042)"
